rowNumber,recordedAt,hand,predictedStrokeType,predictedDirection,predictedPower,labelStrokeType,labelDirection,labelPower,sampleCount,peakAccelerationG,peakRotationRads,accelerationImpulse,meanAccelerationG,meanRotationRads,standardDeviationAccelerationG,standardDeviationRotationRads,skewnessAccelerationG,skewnessRotationRads,signedVerticalRotation,signedLateralRotation,peakScore
1,2026-07-04T16:52:08Z,left,underhand,forehand,non_smash,overhead,forehand,non_smash,21,2.1262497537898195,10.26268294507928,0.13747889994318716,0.39362331742902984,1.5505758758355348,0.7069599329708888,3.0258114183224625,1.4779350734204522,1.7888979462291619,-21.739661319181323,-2.4554627216421068,16.64143220644874
2,2026-07-04T16:52:08Z,left,underhand,forehand,smash,overhead,forehand,non_smash,21,2.696330948828964,13.206631937299047,0.751714918998269,1.969797426186355,9.51717039466818,0.48607809682197284,3.3086619342949453,-0.7669540690788624,-0.7761091306452945,-155.9744609594345,-27.202849365770817,20.153298855202923
3,2026-07-04T16:52:08Z,left,underhand,forehand,smash,overhead,forehand,non_smash,21,2.696330948828964,11.058556356168252,0.5480108336142848,1.4847876990816302,3.8565922802182437,0.6260036297147092,2.5230090561149465,0.24912018553789267,1.5094171618708905,-24.819779440760612,-5.850805729627609,19.147549202655142
4,2026-07-04T16:52:09Z,left,overhead,backhand,smash,overhead,forehand,non_smash,21,3.318417763192498,11.57616743218645,0.6774328717848116,1.7929354090114564,6.966539697158282,0.7437316473291029,3.00038601479128,0.510349300239936,0.11959887358793975,98.27971601486206,75.70076190680265,21.078350805774406
5,2026-07-04T16:52:09Z,left,overhead,backhand,smash,overhead,forehand,non_smash,21,3.1673944578626516,11.57616743218645,0.40000143686932216,1.1208214600178377,4.268941593393505,0.8396976397015147,4.123414638683826,0.6989084768217662,0.5490255467877831,56.857617957517505,53.90942455083132,21.078350805774406
6,2026-07-04T16:52:16Z,left,underhand,forehand,non_smash,overhead,forehand,non_smash,21,2.063277855138533,9.609902199749973,0.11512480666800731,0.34010883504113254,1.4894564632833283,0.612365270231277,2.803965967374359,1.6305306180326464,1.7508803370525772,-17.439717476954684,-1.0602924961131066,15.799735765165572
7,2026-07-04T16:52:17Z,left,underhand,forehand,smash,overhead,forehand,non_smash,21,4.7571547421527365,15.87498584672738,0.8623452322386501,2.2332029339015476,10.062873850395132,0.9921664552943589,3.8852482557459562,0.5298924140355892,-0.4263364274542796,-150.03008604049683,-58.61818661540747,26.429290668461473
8,2026-07-04T16:52:17Z,left,underhand,forehand,smash,overhead,forehand,non_smash,21,4.7571547421527365,11.7908885201415,0.5869278305721238,1.5774472156479136,4.028839556356088,0.9254353621978123,2.7149338556685,1.8155788142093048,1.0829181219330293,-4.073703435249627,-5.551255762577057,26.06235274659971
9,2026-07-04T16:52:17Z,left,overhead,backhand,smash,overhead,forehand,non_smash,21,3.270218425249115,11.270366935739302,0.7198550724465066,1.8939406486821584,7.197339314052265,0.6793389037384145,3.0041739890128705,0.5904981914534891,-0.08864443714503911,107.14467740058899,79.44241513311863,20.894802644528134
10,2026-07-04T16:52:18Z,left,overhead,backhand,smash,overhead,forehand,non_smash,21,2.532324306291236,11.082646205923865,0.3647837448231464,1.042414394221024,4.2448783955359835,0.709827795557706,3.8946546962400395,0.3570120141837307,0.49954556261756417,58.792141234502196,42.45783340185881,18.679619124797572
11,2026-07-04T16:52:22Z,left,underhand,backhand,non_smash,overhead,forehand,non_smash,21,2.362997167943412,9.26011202428783,0.12188181873502166,0.34417304487844474,1.109806264581033,0.7173341672149302,2.4798921626478276,1.8353154677120396,2.2032016436211697,-18.13554994785227,2.429226956795901,16.349103528118064
12,2026-07-04T16:52:23Z,left,underhand,forehand,smash,overhead,forehand,non_smash,21,7.988769659702584,28.54574543480715,1.1776605808898664,2.9839537640234917,12.100226735316621,1.7546241093916868,8.228961720245755,0.8846321218226342,0.41178281842849856,-148.80255353450775,-59.4448297675699,38.082860460513785
13,2026-07-04T16:52:23Z,left,overhead,backhand,non_smash,overhead,forehand,non_smash,21,2.5452276964191665,6.933034524097764,0.5510119708233701,1.491933263865167,3.2521654195096352,0.5442610757918982,1.8404419421455505,0.2589566971335747,0.24945654569478426,3.464288219809532,1.565687507390976,14.08923319689126
14,2026-07-04T16:52:23Z,left,overhead,backhand,smash,overhead,forehand,non_smash,21,2.5483868165052037,10.552192768316283,0.6560341942644246,1.7419861768200586,7.076678113471992,0.4256599031396735,2.1500796323530524,0.5484448061726095,0.15580422210173347,79.5634543299675,108.67349076271057,17.92082226616562
15,2026-07-04T16:52:24Z,left,overhead,backhand,smash,overhead,forehand,non_smash,21,2.0462041696591697,10.150492034229483,0.28372975946477125,0.8516947866232104,3.71560634019264,0.5587078566228824,3.4963686281340154,0.30673355325704654,0.5088247024499877,47.423591988161206,46.38538874126971,16.289104543206992
16,2026-07-04T16:52:31Z,left,underhand,backhand,non_smash,overhead,forehand,non_smash,21,1.2979085573247033,5.931618363449114,0.12240450775884368,0.38972647662127724,1.7563683411162352,0.4898689227247759,2.0530293783770834,0.7335548392182493,0.7649230252558894,-28.76643856149167,6.329276198986918,9.825344035423225
17,2026-07-04T16:52:32Z,left,underhand,backhand,smash,overhead,forehand,non_smash,21,3.672438284516614,11.813065181991966,0.7154512821132484,1.883455433602972,8.987668435219236,0.8322018543679358,2.6070446019875515,0.9267502505158893,-0.7447921374523252,-174.41770792007446,8.421237111091614,21.433312170109883
18,2026-07-04T16:52:32Z,left,underhand,forehand,smash,overhead,forehand,non_smash,21,3.672438284516614,11.664527038054079,0.5908314977474143,1.5867416613033678,4.39265779394128,1.0030900529477276,3.7297540303142656,0.9933125647233545,0.7152566442254814,-61.521381452679634,-9.578049212694168,21.433312170109883
19,2026-07-04T16:52:32Z,left,overhead,forehand,non_smash,overhead,forehand,non_smash,21,1.8845691429304237,6.347458671042548,0.4783712181879724,1.3189790909237435,3.413578258177977,0.32123004822828627,2.091370354830496,0.4551714374530564,0.04023345760925478,57.456684455275536,-2.571709632873535,11.979851359705052
20,2026-07-04T16:52:33Z,left,overhead,backhand,non_smash,overhead,forehand,non_smash,21,2.2112692997783805,7.397943519013355,0.6618390017182646,1.7558071469482481,6.778433234502522,0.3571732239136276,0.469859071992753,-0.6289737481954557,-0.6526252588096104,92.47353076934814,92.0301904976368,13.79957575564848
21,2026-07-04T16:52:33Z,left,overhead,backhand,smash,overhead,backhand,non_smash,21,4.34902828754319,10.821056696342229,0.4222532581455988,1.1853649003466635,5.928600501889004,0.7798687964804534,1.5848648330541126,3.102618743477928,1.0197050684862359,67.97662806510925,58.420689821243286,23.8681415589718
22,2026-07-04T16:52:33Z,left,underhand,backhand,smash,overhead,backhand,non_smash,21,4.34902828754319,10.821056696342229,0.3530905500919825,1.0206917859332916,4.480987647605466,0.8330139289592707,2.5586419269137273,2.970295908714806,1.346508090746796,-34.821665570139885,5.6730998903512955,23.8681415589718
23,2026-07-04T16:52:42Z,left,underhand,forehand,non_smash,overhead,backhand,non_smash,21,1.231573568397087,8.874141186314349,0.17915422828681377,0.5924688189568232,4.026279721772044,0.288200181322029,2.812843443135223,-0.11180945072645121,0.19419166774184193,-62.118814926594496,-35.387873485684395,12.568861891505609
24,2026-07-04T16:52:42Z,left,underhand,forehand,smash,overhead,backhand,non_smash,21,3.652111704275371,16.142816856180435,0.5724781284037113,1.5430431628659793,7.844820061431005,1.039663090687996,4.437475802976446,0.704310440855462,0.27885507851434876,-88.75106973946095,-24.004563212394714,27.09915196900655
25,2026-07-04T16:52:43Z,left,overhead,backhand,non_smash,overhead,backhand,non_smash,21,1.3452622409517998,4.90632374062913,0.19576660343045105,0.6461109605486929,3.4072728743631493,0.2896466217987822,0.8345699953428609,0.6075358815896482,-0.588866334110124,18.832646638154984,45.777799129486084,8.942110463484529
26,2026-07-04T16:52:44Z,left,underhand,forehand,smash,overhead,backhand,non_smash,21,8.498143640493872,34.79410844789154,1.1425629269779487,2.9003879213760677,11.524972851291441,2.0988698756664403,10.081882400887103,1.2100885381620732,1.075005031129569,-118.52257487177849,-27.650245767086744,60.12331983178922
27,2026-07-04T16:52:44Z,left,overhead,forehand,non_smash,overhead,backhand,non_smash,21,5.602710505591238,8.268179972403546,0.2668245626092015,0.7925776444427888,1.6649517220450392,1.289126656602208,2.236226404087393,2.5471949208763798,1.8587126336753257,9.165714599192142,-6.6178236324340105,21.520978611833083
28,2026-07-04T16:52:46Z,left,overhead,backhand,non_smash,overhead,backhand,non_smash,21,2.063120287988829,5.231515639324515,0.1939626181991947,0.6418157576171302,3.930432980958123,0.441247027446354,0.9297198325259565,1.4641842240668086,-0.566884912861707,27.00686353445053,27.469373613595963,11.420876503291002
29,2026-07-04T16:52:46Z,left,underhand,forehand,smash,overhead,backhand,non_smash,21,8.181964345549202,35.88360665434194,1.133026272762293,2.8776816018149822,11.58001433536014,2.2561775099255037,10.034967971332044,1.1239537871489356,0.9820619697632041,-117.8663856163621,-35.06391975283623,60.429499690989545
30,2026-07-04T16:52:47Z,left,overhead,forehand,non_smash,overhead,backhand,non_smash,21,6.178660111023297,6.838851501925822,0.2262738600792502,0.696392231333504,1.2839892148010232,1.3561574677899157,1.590044940199579,3.159766505200148,2.19617252066416,4.90203870087862,-5.809251831378788,22.421343422728796
31,2026-07-04T16:52:50Z,left,overhead,backhand,non_smash,overhead,backhand,non_smash,21,1.2652765462304387,5.729965049323164,0.21111933565329496,0.6826650848887976,3.7841989995689485,0.2355047265722443,1.1366405519723908,0.767668769005304,0.046317349489618534,7.9888264909386635,25.420488744974136,9.52579468801448
32,2026-07-04T16:52:50Z,left,underhand,forehand,smash,overhead,backhand,non_smash,21,6.388360774112336,32.037151826446625,0.9119607373566816,2.3513350889444804,10.718999212522169,1.5330167645289996,7.772726009983477,0.938864783297264,1.1630836594437763,-120.50022699311376,-25.763993114233017,43.45229411842073
33,2026-07-04T16:52:51Z,left,overhead,forehand,smash,overhead,backhand,non_smash,21,4.092235847743769,9.39272930582104,0.25731657468737695,0.7862293710166431,1.9876790463925469,1.0982584328922824,2.4909088909629253,1.9272521474680622,1.6100132895234143,11.029076531529427,-7.2063814252614975,19.727156453153718
34,2026-07-04T16:52:55Z,left,underhand,backhand,non_smash,overhead,backhand,non_smash,21,1.2143697826126933,10.62083104537725,0.10618541215543502,0.41427848914864884,2.9551682523020926,0.3808669472133253,3.6009341049884216,0.851551532515671,1.2714554544016412,-3.2091007605195045,6.005947098135948,13.81610288630851
35,2026-07-04T16:52:56Z,left,overhead,backhand,non_smash,overhead,backhand,non_smash,21,1.6106533438885793,10.62083104537725,0.43986462826797257,1.2272967339713634,7.204828385762098,0.2121063231730595,1.56179926815093,-0.2559136075043622,0.9886022779750343,27.24291401170194,105.94754107296467,13.81610288630851
36,2026-07-04T16:52:56Z,left,overhead,backhand,non_smash,overhead,backhand,non_smash,21,1.6106533438885793,6.529474952187454,0.2634364325621904,0.802123719411855,3.569678069516093,0.5020341508667422,1.90913328468878,0.20554763515818242,0.23018344841275265,3.2111277412623167,55.44154393672943,11.150068772119528
